scenario,theta_delta,seed,Z1,Z2,phi,Delta,feasible,secs
1,0.005,42,67.81,5.0,0.0476,0.000392,True,331.7
1,0.005,7,67.41,6.0,0.0476,0.000278,True,334.4
1,0.005,123,67.01,4.0,0.0417,0.000133,True,339.2
1,0.004,42,73.36,13.0,0.0417,0.000205,True,345.4
1,0.004,7,67.76,5.0,0.0476,0.000359,True,342.9
1,0.004,123,67.41,3.0,0.0476,0.000278,True,340.8
1,0.003,42,67.76,4.0,0.0476,0.000359,True,344.2
1,0.003,7,67.76,8.0,0.0476,0.000359,True,339.9
1,0.003,123,67.81,5.0,0.0476,0.000392,True,337.1
1,0.002,42,73.36,12.0,0.0417,0.000205,True,342.1
1,0.002,7,67.81,3.0,0.0476,0.000392,True,444.0
1,0.002,123,67.81,5.0,0.0476,0.000392,True,439.9
