scenario,w1,w4,Z1,Z2,phi,Delta,feasible,secs
1,0.9,0.1,85.93,27.0,0.25,0.008712,True,395.4
1,0.8,0.2,71.5,0.0,0.25,0.010573,True,338.9
1,0.7,0.3,71.61,0.0,0.2286,0.00789,True,337.4
1,0.6,0.4,71.08,0.0,0.2286,0.007239,True,332.8
1,0.5,0.5,71.57,0.0,0.25,0.010684,True,341.0
2,0.9,0.1,74.84,19.0,0.2476,0.0094,True,418.7
2,0.8,0.2,70.14,2.0,0.2476,0.009314,True,411.9
2,0.7,0.3,69.62,0.0,0.2444,0.00927,True,414.3
2,0.6,0.4,69.53,0.0,0.2444,0.010072,True,412.5
2,0.5,0.5,69.53,0.0,0.2444,0.009316,True,419.2
3,0.9,0.1,80.32,26.0,0.25,0.012019,True,468.4
3,0.8,0.2,73.19,11.0,0.25,0.014419,True,455.8
3,0.7,0.3,67.78,0.0,0.25,0.010159,True,451.0
3,0.6,0.4,67.89,0.0,0.25,0.010245,True,448.9
3,0.5,0.5,67.78,0.0,0.25,0.010095,True,445.5
